Political,"parts of the articles referred to considerations related to politics and politicians, including lobbying, elections, and attempts to sway voters."
Crime_and_punishment,"parts of the articles referred to effectiveness and implications of laws and their enforcement."
Morality,"parts of the articles referred to religious or ethical implications."
Legality_Constitutionality_and_jurisprudence,"parts of the articles referred to rights, freedoms, and authority of individuals, corporations and government."
Security_and_defense,"parts of the articles referred to threats to we lfa r e of the individual, community or nation."
External_regulation_and_reputation,"parts of the articles referred to international reputation or foreign policy."
Fairness_and_equality,"parts of the articles referred to the balance or distribution of rights, responsibilities and resources."
Quality_of_life,"parts of the articles referred to threats and opportunities for the individualâ€™s wealth, happiness, and well-being."
Policy_prescription_and_evaluation,"parts of the articles referred to discussion of specific policies aimed at addressing problems."
Health_and_safety,"parts of the articles referred to health care, sanitation, public safety."
Cultural_identity,"parts of the articles referred to traditions, customs , or values of a social group in relation to a policy issue"
Capacity_and_resources,"parts of the articles referred to the availability of physical, human or financial resources, and capacity of current systems."
Economic,"parts of the articles referred to costs, benefits or other financial implications"
Public_opinion,"parts of the articles referred to attitudes and opinions of the general public, including polling and demographics."
