Labels,En,Fr,Ge,It,Po,Ru
Loaded_Language,Using specific words and phrases with strong emotional implications (either positive or negative) to influence and convince the audience that an argument is valid/true,Utiliser des mots et des phrases spécifiques avec de fortes implications émotionnelles (positives ou négatives) pour influencer et convaincre le public qu'un argument est valide / vrai,"Verwendung spezifischer Wörter und Phrasen mit starken emotionalen Auswirkungen (entweder positiv oder negativ), um das Publikum zu beeinflussen und zu überzeugen, dass ein Argument gültig/wahr ist",Usare parole e frasi specifiche con forti implicazioni emotive (positive o negative) per influenzare e convincere il pubblico che un argomento è valido/vero,"Używanie określonych słów i fraz z silnymi implikacjami emocjonalnymi (pozytywnymi lub negatywnymi), aby wpływać i przekonać publiczność, że argument jest ważny/prawdziwy","Использование конкретных слов и фраз с сильными эмоциональными последствиями (позитивными или отрицательными), чтобы влиять и убеждать аудиторию в том, что аргумент является действительным/верным"
Name_Calling-Labeling,"A form of argument in which loaded labels are directed at an individual or group, typically in an insulting or demeaning way. Labelling an object as either something the target audience fears, hates, or on the contrary finds desirable or loves.","Une forme d'argument dans laquelle les étiquettes chargées sont dirigées contre un individu ou un groupe, généralement de manière insultante ou dégradante. Étiqueter un objet comme quelque chose que le public cible craint, déteste, soit au contraire trouve désirable ou aime.","Eine Form des Arguments, in der geladene Etiketten auf eine Person oder Gruppe gerichtet sind, normalerweise beleidigend oder erniedrigend. Bezeichnung eines Objekts als etwas, das die Zielgruppe fürchtet, hasst oder im Gegenteil wünschenswert oder liebt.","Una forma di argomento in cui le etichette caricate sono dirette a un individuo o in un gruppo, in genere in modo offensivo o umiliante. Etichettare un oggetto come qualcosa che il pubblico target teme, odia o al contrario trova desiderabile o ama.","Forma argumentu, w której załadowane etykiety są skierowane na osobę lub grupę, zwykle w sposób obrażający lub poniżający. Oznaczanie obiektu jako czegoś, czego docelowa publiczność obawia się, nienawidzi lub przeciwnie, uważa za pożądane lub kochane.","Форма аргумента, в которой загруженные этикетки направлены на человека или группу, как правило, оскорбительным или унизительным способом. Маркировка объекта либо чем -то, что целевая аудитория боится, ненавидит, либо, напротив, находит желательным или любимым."
Repetition,"A fallacy by which the speaker uses the same word, phrase, story, or imagery repeatedly with the hopes that the repetition will lead to persuade the audience.","Une erreur par laquelle l'orateur utilise à plusieurs reprises le même mot, phrase, histoire ou imagerie dans l'espoir que la répétition conduira à persuader le public.","Ein Trugschluss, durch den der Sprecher das gleiche Wort, die gleiche Phrase, die gleiche Geschichte oder die gleiche Bilder verwendet, in der die Hoffnung, dass die Wiederholung das Publikum überzeugen wird.","Un errore con cui l'oratore usa ripetutamente la stessa parola, frase, storia o immagini con la speranza che la ripetizione porti a persuadere il pubblico.","Błąd, za pomocą którego mówca używa tego samego słowa, frazy, historii lub obrazów z nadzieją, że powtórzenie doprowadzi do przekonania publiczności.","Ошибка, с помощью которой оратор использует то же слово, фраза, историю или образы неоднократно с надеждой, что повторение приведет к убеждению аудитории."
Doubt,"Casting doubt on the character or personal attributes of someone or something in order to question their general credibility or quality, instead of using a proper argument related to the topic.","Jetez un doute sur le caractère ou les attributs personnels de quelqu'un ou quelque chose afin de remettre en question leur crédibilité ou sa qualité générale, au lieu d'utiliser un argument approprié lié au sujet.","Zweifel an den Charakter oder persönlichen Attributen von jemandem oder etwas, um ihre allgemeine Glaubwürdigkeit oder Qualität in Frage zu stellen, anstatt ein ordnungsgemäßes Argument in Bezug auf das Thema zu verwenden.","Mettere in dubbio il personaggio o gli attributi personali di qualcuno o qualcosa al fine di mettere in discussione la loro credibilità o qualità generale, invece di usare un argomento adeguato relativo all'argomento.","Rzucanie wątpliwości co do postaci lub osobistych atrybutów kogoś lub czegoś w celu zakwestionowania ich ogólnej wiarygodności lub jakości, zamiast używać właściwego argumentu związanego z tematem.","Ставя под сомнение характер или личные атрибуты кого -то или что -то, чтобы подвергнуть сомнению их общий доверие или качество, вместо того, чтобы использовать надлежащий аргумент, связанный с темой."
Exaggeration-Minimisation,"Either representing something in an excessive manner: making things larger, better, worse (e.g. 'the best of the best', 'quality guaranteed') or making something seem less important or smaller than it really is (e.g. saying that an insult was just a joke), downplaying statements and ignoring arguments and accusations made by an opponent.","Soit représenter quelque chose de manière excessive: rendre les choses plus grandes, meilleures, pires (par exemple, «le meilleur des meilleurs», «qualité garantie»), soit rendre quelque chose moins important ou plus petit qu'il ne l'est réellement (par exemple, dire qu'une insulte était juste une blague), minimiser les déclarations et ignorer les arguments et les accusations portées par un adversaire.","Entweder in übermäßiger Weise etwas darstellen: Dinge größer, besser, schlechter machen (z. B. ""das Beste der Besten"", ""Qualität garantiert"") oder etwas weniger Wichtiges oder kleiner erscheinen zu lassen als es wirklich ist (z. B. sagen, dass eine Beleidigung nur ist ein Witz), das Aussagen von Aussagen herunterspielen und Argumente und Anschuldigungen eines Gegners ignoriert.","O rappresentare qualcosa in modo eccessivo: rendere le cose più grandi, migliori, peggiori (ad esempio ""il meglio del meglio"", ""garanzia di qualità"") o rendere qualcosa di meno importante o più piccolo di quanto non lo sia in realtà (ad esempio dicendo che un insulto era solo uno scherzo), minimizzando le dichiarazioni e ignorando argomenti e accuse fatte da un avversario.","Albo reprezentując coś w sposób nadmierny: zwiększanie, lepsze, lepsze, gorsze (np. „Najlepsze z najlepszych”, „gwarantowane jakość”), albo sprawienie, by coś wydawało się mniej ważne lub mniejsze niż w rzeczywistości (np. Mówienie, że zniewaga była po prostu żart), lekceważenie oświadczeń i ignorowanie argumentów i oskarżeń przeciwnika.","Либо представляя что -то чрезмерным образом: сделать вещи больше, лучше, хуже (например, «лучшее из лучших», «качество гарантированно»), либо сделать что -то менее важное или меньше, чем на самом деле (например, говоря, что оскорбление было просто шутка), преуменьшение заявлений и игнорирование аргументов и обвинений, сделанных противником."
Appeal_to_Fear-Prejudice,"This technique aims at promoting or rejecting through the repulsion of the audience towards this idea (e.g.\, via exploiting some preconceived judgements) or towards its alternative.","Cette technique vise à promouvoir ou à rejeter à travers la répulsion du public envers cette idée (par exemple, en exploitant certains jugements préconçus) ou vers son alternative.","Diese Technik zielt darauf ab, die Abstoßung des Publikums für diese Idee (z. B. durch die Nutzung einiger vorgefasster Urteile) oder auf ihre Alternative zu fördern oder abzulehnen.","Questa tecnica mira a promuovere o respingere la repulsione del pubblico verso questa idea (ad esempio \, sfruttando alcuni giudizi preconcetti) o verso la sua alternativa.","Ta technika ma na celu promowanie lub odrzucenie przez odpychanie publiczności w kierunku tego pomysłu (np. \, Poprzez wykorzystanie niektórych z góry przyjętych osądów) lub w kierunku jej alternatywy.","Эта техника направлена ​​на то, чтобы продвигать или отвергать через отталкивание аудитории к этой идее (например, путем использования некоторых предвзятых суждений) или к ее альтернативе."
Flag_Waving,Justifying or promoting an idea by exhaling the pride of a group or highlighting the benefits for that specific group.,Justifier ou promouvoir une idée en expirant la fierté d'un groupe ou en mettant en évidence les avantages de ce groupe spécifique.,"Begründung oder Förderung einer Idee, indem Sie den Stolz einer Gruppe ausatmen oder die Vorteile für diese bestimmte Gruppe hervorheben.",Giustificando o promuovendo un'idea espirando l'orgoglio di un gruppo o evidenziando i benefici per quel gruppo specifico.,Uzasadnienie lub promowanie pomysłu poprzez wydychanie dumy grupy lub podkreślenie korzyści dla tej konkretnej grupy.,"Оправдание или продвижение идеи, выдыхая гордость группы или подчеркивая преимущества для этой конкретной группы."
Causal_Oversimplification,Assuming a single cause or reason when there are actually multiple causes for an issue.,En supposant une seule cause ou raison lorsqu'il y a en fait plusieurs causes de problème.,"Annahme einer einzelnen Ursache oder eines einzelnen Grundes, wenn tatsächlich mehrere Ursachen für ein Problem vorhanden sind.",Supponendo una singola causa o motivo quando ci sono effettivamente molteplici cause per un problema.,"Zakładając jedną przyczynę lub powód, w którym w rzeczywistości istnieje wiele przyczyn problemu.","Предполагая единственную причину или причину, когда существует множество причин для проблемы."
Conversation_Killer,"Words or phrases that discourage critical thought and meaningful discussion about a given topic. A form of loaded language, often passing as folk wisdom, intended to end an argument and quell cognitive dissonance.","Des mots ou des phrases qui découragent la pensée critique et la discussion significative sur un sujet donné. Une forme de langage chargé, passant souvent en tant que sagesse folklorique, avait l'intention de mettre fin à un argument et de réprimer la dissonance cognitive.","Wörter oder Phrasen, die kritisches Denken und sinnvolle Diskussion über ein bestimmtes Thema entmutigen. Eine Form der geladenen Sprache, die oft als Volks Weisheit vorbeikommt, beabsichtigte, ein Argument zu beenden und die kognitive Dissonanz zu unterdrücken.","Parole o frasi che scoraggiano il pensiero critico e una discussione significativa su un determinato argomento. Una forma di linguaggio carico, spesso che passa come saggezza popolare, intendeva porre fine a una discussione e reprimere la dissonanza cognitiva.","Słowa lub frazy, które zniechęcają do krytycznej myśli i znaczącej dyskusji na dany temat. Forma załadowanego języka, często przechodzącą jako mądrość ludowa, mała zakończenie argumentu i stłumią dysonansu poznawczego.","Слова или фразы, которые препятствуют критической мысли и значимой дискуссии по данной теме. Форма загруженного языка, часто проходящая как народную мудрость, предназначенная для того, чтобы положить конец аргументу и подавить когнитивный диссонанс."
Questioning_the_Reputation,"This technique is used to attack the reputation of the target by making strong negative claims about it, focusing specially on undermining its character an moral stature rather than relying on an argument about the topic.","Cette technique est utilisée pour attaquer la réputation de la cible en faisant de fortes affirmations négatives à ce sujet, en se concentrant spécialement sur la saper son caractère une stature morale plutôt que sur un argument sur le sujet.","Diese Technik wird verwendet, um den Ruf des Ziels anzugreifen, indem sie starke negative Behauptungen darüber aufmerksam machen, und konzentriert sich speziell darauf, seinen Charakter eine moralische Statur zu untergraben, anstatt sich auf ein Argument über das Thema zu verlassen.","Questa tecnica viene utilizzata per attaccare la reputazione del bersaglio facendo forti affermazioni negative al riguardo, concentrandosi specialmente sulla miniera del suo personaggio una statura morale piuttosto che fare affidamento su un argomento sull'argomento.","Ta technika służy do ataku na reputację celu, składając silne negatywne twierdzenia o nim, koncentrując się szczególnie na podważaniu jego charakteru moralnego, a nie polegając na argumencie na ten temat.","Этот метод используется для нападения на репутацию цели, выдвигая сильные негативные заявления об этом, особенно сосредоточив внимание на подрыве своего характера морального роста, а не полагаясь на споры по этой теме."
Appeal_to_Values,"This technique gives weight to an idea by linking it to values seen by the target audience as positive. These values are presented as an authoritative reference in order to support or reject an argument. Examples of such values are, for instance: tradition, religion, ethics, age, fairness, liberty, democracy, peace, transparency, etc","Cette technique donne du poids à une idée en la liant aux valeurs observées par le public cible comme positive. Ces valeurs sont présentées comme une référence faisant autorité afin de soutenir ou de rejeter un argument. Des exemples de telles valeurs sont, par exemple: tradition, religion, éthique, âge, équité, liberté, démocratie, paix, transparence, etc.","Diese Technik verleiht einer Idee, indem sie sie mit Werten verknüpft, die von der Zielgruppe als positiv angesehen werden. Diese Werte werden als maßgebliche Referenz dargestellt, um ein Argument zu unterstützen oder abzulehnen. Beispiele für solche Werte sind zum Beispiel: Tradition, Religion, Ethik, Alter, Fairness, Freiheit, Demokratie, Frieden, Transparenz usw.","Questa tecnica dà peso a un'idea collegandola ai valori visti dal pubblico target come positivo. Questi valori sono presentati come riferimento autorevole per supportare o rifiutare un argomento. Esempi di tali valori sono, ad esempio: tradizione, religione, etica, età, equità, libertà, democrazia, pace, trasparenza, ecc.","Ta technika nadaje nacisk na pomysł, łącząc go z wartościami postrzeganymi przez grupę docelową jako pozytywną. Wartości te są przedstawiane jako autorytatywne odniesienie w celu wsparcia lub odrzucenia argumentu. Przykładami takich wartości są na przykład: tradycja, religia, etyka, wiek, uczciwość, wolność, demokracja, pokój, przejrzystość itp.","Эта техника придает вес идее, связывая ее с ценностями, рассматриваемые целевой аудиторией как позитивную. Эти значения представлены в качестве авторитетной ссылки для поддержки или отклонения аргумента. Примерами таких ценностей являются, например: традиция, религия, этика, возраст, справедливость, свобода, демократия, мир, прозрачность и т. Д."
Obfuscation-Vagueness-Confusion,Using words which are deliberately not clear so that the audience may have its own interpretations.,Utiliser des mots qui ne sont délibérément pas clairs afin que le public puisse avoir ses propres interprétations.,"Verwenden von Wörtern, die absichtlich nicht klar sind, damit das Publikum seine eigenen Interpretationen hat.",Usando parole che non sono deliberatamente chiare in modo che il pubblico possa avere le sue interpretazioni.,"Używanie słów, które celowo nie są jasne, aby publiczność mogła mieć własne interpretacje.","Использование слов, которые намеренно не ясны, чтобы у аудитории могли быть свои собственные интерпретации."
False_Dilemma-No_Choice,"Sometimes called the “either-or” fallacy, a false dilemma is a logical fallacy that presents only two options or sides when there are many options or sides.","Parfois appelé erreur «ou», un faux dilemme est une erreur logique qui ne présente que deux options ou des côtés lorsqu'il existe de nombreuses options ou côtés.","Manchmal als „entweder oder“ Irrtum bezeichnet, ist ein falsches Dilemma ein logischer Irrtum, der nur zwei Optionen oder Seiten aufweist, wenn es viele Optionen oder Seiten gibt.","A volte chiamato errore ""o-o"", un falso dilemma è un errore logico che presenta solo due opzioni o lati quando ci sono molte opzioni o lati.","Czasami nazywany błędem „albo lub”, fałszywy dylemat jest logicznym błędem, który przedstawia tylko dwie opcje lub strony, gdy istnieje wiele opcji lub stron.","Иногда, называемая ошибкой «либо или или», ложная дилемма-это логическая ошибка, которая представляет только два варианта или стороны, когда есть много вариантов или сторон."
Red_Herring,"This technique consists in diverting the attention of the audience from the main topic being discussed, by introducing another topic","Cette technique consiste à détourner l'attention du public du sujet principal discuté, en introduisant un autre sujet","Diese Technik besteht darin, die Aufmerksamkeit des Publikums vom Hauptthema zu lenken, indem ein anderer Thema eingeführt wird","Questa tecnica consiste nel deviare l'attenzione del pubblico dall'argomento principale discusso, introducendo un altro argomento","Ta technika polega na odwróceniu uwagi publiczności z omawianego głównego tematu, wprowadzając inny temat","Эта техника состоит в том, чтобы отвлечь внимание аудитории от обсуждаемой основной темы, введя другую тему"
Straw_Man,"This technique consists in making an impression of refuting an argument of the opponent’s proposition, whereas the real subject of the argument was not addressed or refuted, but instead replaced with a false one","Cette technique consiste à faire une impression de réfuter un argument de la proposition de l'adversaire, tandis que le vrai sujet de l'argument n'a pas été abordé ou réfuté, mais a plutôt remplacé par un faux","Diese Technik besteht darin, einen Eindruck von der Widerlegung eines Arguments des Vorschlags des Gegners zu machen, während das eigentliche Thema des Arguments nicht angesprochen oder widerlegt wurde, sondern stattdessen durch einen falschen ersetzt wurde","Questa tecnica consiste nel fare l'impressione di confutare un argomento della proposta dell'avversario, mentre il vero argomento dell'argomento non è stato affrontato o confutato, ma invece sostituito con uno falso","Technika ta polega na tym, że odrzucenie argumentu propozycji przeciwnika, podczas gdy prawdziwy temat argumentu nie został rozwiązany ani odrzucony, ale zamiast tego zastąpiony fałszywą","Этот метод состоит в том, чтобы произвести впечатление на опровержение аргумента о предложении противника, тогда как реальный предмет аргумента не был рассмотрен или опровергнут, а вместо этого заменил ложным"
Appeal_to_Authority,"The target of the technique is attacked on its reputation by charging them with hypocrisy or inconsistency. This can be done explicitly by calling out hypocrisy directly, or more implicitly by underlying the contradictions between different positions that were held or actions that were done in the past.","La cible de la technique est attaquée sur sa réputation en les chargeant d'hypocrisie ou d'incohérence. Cela peut être fait explicitement en appelant directement l'hypocrisie, ou plus implicitement en sous-jacent aux contradictions entre différentes positions qui ont été tenues ou des actions qui ont été effectuées dans le passé.","Das Ziel der Technik wird auf ihren Ruf angegriffen, indem sie Heuchelei oder Inkonsistenz berechnet. Dies kann explizit erfolgen, indem Heuchelei direkt oder implizit durch die zugrunde liegenden Widersprüche zwischen verschiedenen Positionen oder Handlungen, die in der Vergangenheit durchgeführt wurden, zugrunde liegen.","Il bersaglio della tecnica viene attaccato alla sua reputazione accusandoli di ipocrisia o incoerenza. Ciò può essere fatto esplicitamente chiamando direttamente l'ipocrisia, o più implicitamente sottostando le contraddizioni tra le diverse posizioni che sono state detenute o le azioni che sono state fatte in passato.","Cel techniki jest atakowany z jej reputacji poprzez ładowanie ich hipokryzją lub niespójnością. Można to zrobić wyraźnie, wywołując bezpośrednio hipokryzję, lub bardziej domyślnie, leżąc u podstaw sprzeczności między różnymi pozycjami lub działaniami wykonanymi w przeszłości.","Цель этой техники подвергается нападению на его репутацию, обвиняя их в лицемерии или несогласованности. Это может быть сделано явно, вызывая лицемерие напрямую или более неявно путем лечения противоречий между различными позициями, которые были удерживаны, или действиями, которые были выполнены в прошлом."
Guilt_by_Association,"Attacking the opponent or an activity by associating it with a another group, activity or concept that has sharp negative connotations for the target audience.","Attaquer l'adversaire ou une activité en l'associant à un autre groupe, une autre activité ou un concept qui a des connotations négatives nettes pour le public cible.","Angriff auf den Gegner oder eine Aktivität, indem er ihn mit einer anderen Gruppe, einer Aktivität oder einem anderen Konzept verbindet, das für die Zielgruppe scharfe negative Konnotationen hat.","Attaccare l'avversario o un'attività associandolo a un altro gruppo, attività o concetto che ha connotazioni negative forti per il pubblico target.","Atakowanie przeciwnika lub działania poprzez kojarzenie go z inną grupą, aktywnością lub koncepcją, która ma ostre negatywne konotacje dla grupy docelowej.","Атаковать противника или деятельность, связывая его с другой группой, деятельностью или концепцией, которая имеет острые негативные коннотации для целевой аудитории."
Appeal_to_Popularity,This technique gives weight to an argument or idea by justifying it on the basis that allegedly 'everybody' (or the large majority) agrees with it or 'nobody' disagrees with it.,Cette technique donne du poids à un argument ou à une idée en le justifiant sur la base que «tout le monde» (ou la grande majorité) est d'accord avec lui ou que «personne» ne soit pas d'accord.,"Diese Technik verleiht einem Argument oder einer Idee Gewicht, indem sie sie auf der Grundlage rechtfertigt, dass angeblich „jeder“ (oder die große Mehrheit) damit zustimmt oder niemanden nicht damit einverstanden ist.","Questa tecnica dà peso a una discussione o un'idea giustificandola sulla base del fatto che presumibilmente ""tutti"" (o la grande maggioranza) concordano con esso o ""nessuno"" non è d'accordo.","Ta technika przynosi wagę argumentowi lub pomysłowi, uzasadniając ją na podstawie tego, że rzekomo „wszyscy” (lub znaczna większość) zgadza się z tym lub „nikt” nie zgadza się z tym.","Этот метод придает вес аргументу или идее, оправдывая его на том основании, что, как утверждается, «все» (или подавляющее большинство) согласны с этим или «никто» не согласен с этим."
Consequential_Oversimplification,"An argument/idea is rejected and instead of discussing whether it makes sense and/or is valid, the argument affirms, without proof, that accepting the proposition would imply accepting other propositions that are considered negative.","Un argument / idée est rejeté et au lieu de discuter de savoir s'il a du sens et / ou est valide, affirme l'argument, sans preuve, que l'acceptation de la proposition impliquerait d'accepter d'autres propositions considérées comme négatives.","Ein Argument/eine Idee wird abgelehnt, und anstatt zu diskutieren, ob es Sinn macht und/oder gültig ist, bestätigt das Argument ohne Beweise, dass die Annahme des Satzes impliziert, dass andere Aussagen als negativ angesehen werden.","Un argomento/idea viene respinto e invece di discutere se ha senso e/o valido, l'argomento afferma, senza prove, che accettare la proposizione implicherebbe accettare altre proposizioni che sono considerate negative.","Argument/pomysł został odrzucony i zamiast omawiać, czy ma to sens i/lub jest ważny, argument potwierdza, bez dowodu, że przyjęcie propozycji oznaczałoby przyjęcie innych propozycji, które są uważane za negatywne.","Аргумент/идея отклоняется, и вместо того, чтобы обсуждать, имеет ли он смысл и/или является действительным, аргумент, без доказательств, подтверждает, что принятие предложения подразумевает принятие других предложений, которые считаются негативными."
Appeal_to_Time,Argument centred around the idea that the time has come for a particular action. The very timeliness of the idea is part of the argument. The call to 'Act Now!',L'argument était centré sur l'idée que le moment est venu pour une action particulière. La rapidité même de l'idée fait partie de l'argument. L'appel à «agir maintenant!,"Das Argument drehte sich um die Idee, dass die Zeit für eine bestimmte Aktion gekommen ist. Die Aktualität der Idee ist Teil des Arguments. Der Anruf, jetzt zu handeln!","Argomento incentrato sull'idea che il tempo è giunto per un'azione particolare. La massima tempestività dell'idea fa parte dell'argomento. La chiamata a ""Atti ora!""","Argument koncentrował się wokół idei, że nadszedł czas na konkretne działanie. Sama terminowość tego pomysłu jest częścią argumentu. Wezwanie do „działać teraz!”","Аргумент был сосредоточен на идее, что пришло время для конкретного действия. Сама своевременность идеи является частью аргумента. Призыв к ""Действуйте сейчас!"""
Appeal_to_Hypocrisy,"The target of the technique is attacked on its reputation by charging them with hypocrisy or inconsistency. This can be done explicitly by calling out hypocrisy directly, or more implicitly by underlying the contradictions between different positions that were held or actions that were done in the past.","La cible de la technique est attaquée sur sa réputation en les chargeant d'hypocrisie ou d'incohérence. Cela peut être fait explicitement en appelant directement l'hypocrisie, ou plus implicitement en sous-jacent aux contradictions entre différentes positions qui ont été tenues ou des actions qui ont été effectuées dans le passé.","Das Ziel der Technik wird auf ihren Ruf angegriffen, indem sie Heuchelei oder Inkonsistenz berechnet. Dies kann explizit erfolgen, indem Heuchelei direkt oder implizit durch die zugrunde liegenden Widersprüche zwischen verschiedenen Positionen oder Handlungen, die in der Vergangenheit durchgeführt wurden, zugrunde liegen.","Il bersaglio della tecnica viene attaccato alla sua reputazione accusandoli di ipocrisia o incoerenza. Ciò può essere fatto esplicitamente chiamando direttamente l'ipocrisia, o più implicitamente sottostando le contraddizioni tra le diverse posizioni che sono state detenute o le azioni che sono state fatte in passato.","Cel techniki jest atakowany z jej reputacji poprzez ładowanie ich hipokryzją lub niespójnością. Można to zrobić wyraźnie, wywołując bezpośrednio hipokryzję, lub bardziej domyślnie, leżąc u podstaw sprzeczności między różnymi pozycjami lub działaniami wykonanymi w przeszłości.","Цель этой техники подвергается нападению на его репутацию, обвиняя их в лицемерии или несогласованности. Это может быть сделано явно, вызывая лицемерие напрямую или более неявно путем лечения противоречий между различными позициями, которые были удерживаны, или действиями, которые были выполнены в прошлом."
Slogans,A brief and striking phrase that may include labeling and stereotyping. Slogans tend to act as emotional appeals.,Une phrase brève et frappante qui peut inclure l'étiquetage et les stéréotypes. Les slogans ont tendance à agir comme des appels émotionnels.,"Ein kurzer und auffälliger Satz, der Kennzeichnung und Stereotypisierung umfasst. Slogans neigen dazu, als emotionale Berufung zu fungieren.",Una frase breve e sorprendente che può includere etichettature e stereotipi. Gli slogan tendono ad agire come appelli emotivi.,"Krótka i uderzająca fraza, która może obejmować etykietowanie i stereotypowanie. Slogany mają tendencję do działań emocjonalnych.","Краткая и поразительная фраза, которая может включать маркировку и стереотипирование. Слоганы, как правило, действуют как эмоциональные призывы."
Whataboutism,"Instead of answering a critical question or argument an attempt is made to retort with a critical counter-question which expresses a counter-accusation, e.g., mentioning double standards, etc.","Au lieu de répondre à une question ou un argument critique, une tentative est faite de riposter avec une contre-question critique qui exprime une contre-accusation, par exemple, mentionnant les doubles standards, etc.","Anstatt eine kritische Frage oder ein Argument zu beantworten, wird ein Versuch unternommen, sich mit einer kritischen Gegenfristung zurückzuziehen, die eine Gegenbekämpfung ausdrückt, z. B. die Erwähnung von Doppelstandards usw.","Invece di rispondere a una domanda o argomentazione critica, viene fatto un tentativo di replica con una contro-domande critica che esprime una contro-accusa, ad esempio menzionando doppi standard, ecc.","Zamiast odpowiedzieć na krytyczne pytanie lub argument, podjęto próbę retorowania przy krytycznym kontrakcie, który wyraża kontraktację, np. Wspomnienie podwójnych standardów itp.","Вместо того, чтобы ответить на критический вопрос или аргумент, предпринимается попытка репорта с критическим противодействием, который выражает контр-аккурацию, например, упоминание двойных стандартов и т. Д."